date,pm25,date,pm10,date,o3,date,no2,date,so2,date,co,date,t,date,p,date,h
2017/11/23 21:00:00,87,2017/11/23 21:00:00,47,2017/11/22 02:00:00,4,2017/11/23 21:00:00,23,2017/11/23 21:00:00,5,2017/11/23 21:00:00,8,2017/11/23 21:00:00,8,2017/11/23 21:00:00,1027,2017/11/23 21:00:00,61
2017/11/23 22:00:00,89,2017/11/23 22:00:00,50,2017/11/22 02:00:00,4,2017/11/23 22:00:00,22,2017/11/23 22:00:00,5,2017/11/23 22:00:00,8,2017/11/23 21:00:00,9,2017/11/23 21:00:00,1027,2017/11/23 21:00:00,61
2017/11/23 23:00:00,91,2017/11/23 23:00:00,50,2017/11/22 02:00:00,4,2017/11/23 23:00:00,19,2017/11/23 22:00:00,5,2017/11/23 22:00:00,8,2017/11/23 23:00:00,8,2017/11/23 23:00:00,1028,2017/11/23 23:00:00,65
2017/11/24 00:00:00,99,2017/11/24 00:00:00,53,2017/11/22 02:00:00,4,2017/11/24 00:00:00,22,2017/11/23 22:00:00,5,2017/11/24 00:00:00,9,2017/11/24 00:00:00,7,2017/11/24 00:00:00,1028,2017/11/24 00:00:00,75
2017/11/24 01:00:00,107,2017/11/24 01:00:00,55,2017/11/22 02:00:00,4,2017/11/24 01:00:00,24,2017/11/23 22:00:00,5,2017/11/24 01:00:00,9,2017/11/24 01:00:00,7,2017/11/24 01:00:00,1028,2017/11/24 01:00:00,75
2017/11/24 02:00:00,109,2017/11/24 02:00:00,55,2017/11/22 02:00:00,4,2017/11/24 02:00:00,23,2017/11/23 22:00:00,5,2017/11/24 02:00:00,10,2017/11/24 02:00:00,6,2017/11/24 02:00:00,1028,2017/11/24 02:00:00,81
2017/11/24 02:00:00,109,2017/11/24 02:00:00,55,2017/11/22 02:00:00,4,2017/11/24 02:00:00,23,2017/11/23 22:00:00,5,2017/11/24 02:00:00,10,2017/11/24 02:00:00,6,2017/11/24 02:00:00,1028,2017/11/24 02:00:00,81
2017/11/24 04:00:00,99,2017/11/24 04:00:00,52,2017/11/22 02:00:00,4,2017/11/24 04:00:00,20,2017/11/24 04:00:00,4,2017/11/24 04:00:00,9,2017/11/24 03:00:00,6,2017/11/24 03:00:00,1028,2017/11/24 03:00:00,81
2017/11/24 04:00:00,99,2017/11/24 04:00:00,52,2017/11/22 02:00:00,4,2017/11/24 04:00:00,20,2017/11/24 04:00:00,4,2017/11/24 04:00:00,9,2017/11/24 03:00:00,6,2017/11/24 03:00:00,1028,2017/11/24 03:00:00,81
2017/11/24 04:00:00,99,2017/11/24 04:00:00,52,2017/11/22 02:00:00,4,2017/11/24 04:00:00,20,2017/11/24 04:00:00,4,2017/11/24 04:00:00,9,2017/11/24 03:00:00,6,2017/11/24 03:00:00,1028,2017/11/24 03:00:00,81
